Por favor seleccione el curso,Marca temporal,¿Cuál cree que es la principal razón por su bajo desempeño en el primer previo de este curso?,¿Alguna otra razón por la cual tuvo bajo desempeño en el primer previo de este curso?,Año,Mes
Electrónica I,2023-11-20 09:14:58,No me preparé lo suficiente para el examen,"El proceso de los ejercicios no tienen valor en la calificación,  solo la respuesta final, puede que uno haya cometido un error muy simple, pero se aplicaron bien los conceptos pero de nada vale sino aportan a la calificion, no tiene que valer mucho pero creo que si debería sumar algo a la nota. ",2023,11
Electrónica I,2023-11-20 09:15:33,Tengo dificultades por temas laborales,"No poder asistir a las asesorías por la cuestión laboral o que se me cruzaba con el horario de otras materias
En la explicación de ejercicios dar un tiempo para poder alcanzar a copiar algunos apuntes.
El método de calificación",2023,11
Electrónica I,2023-11-20 09:16:47,No me preparé lo suficiente para el examen,"Mal gestión de tiempo al momento de estudiar. 
Método de calificación, no justificar de manera adecuada la respuesta y ser calificada mal.",2023,11
Electrónica I,2023-11-20 09:17:16,Las explicaciones del docente no son claras,"La docente se exalta al momento de intentar preguntar acerca del tema visto, tanto así que se llega al punto de no querer preguntarle solo por no ser humillado. 

Al ser una materia que abarca muchos temas, siento que se explica un tema solo 1 vez, teniendo que captarse en ese mismo instante lo cual puede dificultarse para algunos estudiantes.

No se pasan las diapositivas de los temas explicados en clase las cuales yo siento que son de gran ayuda ya que si no repite o no le da la suficiente atención a un tema determinado que el estudiante no pueda entender , en las diapositivas se puede por lo menos repasar resumidamente la clase. 

Puesto que no pasa diapositivas, toca buscar en libros donde la información es bastante amplia, o se usan formulas y condiciones diferentes a las expuestas en clase. Por lo que pienso yo que en las diapositivas se consigue una información más puntual respecto a los temas. ",2023,11
Cálculo Vectorial,2023-11-20 10:10:21,Las explicaciones del docente no son claras,"No estudié lo suficiente, tampoco me quedó tiempo debido a mi trabajo y además el docente es muy difícil de entender ",2023,11
Cálculo Vectorial,2023-11-20 10:10:25,Las explicaciones del docente no son claras,"Otra razón fue que tuve problemas personales, perdiendo tiempo esencial para poder estudiar bien ",2023,11
Cálculo Vectorial,2023-11-20 10:10:33,Las explicaciones del docente no son claras,Ninguna,2023,11
Cálculo Vectorial,2023-11-20 10:11:07,No me preparé lo suficiente para el examen,Ninguna ,2023,11
Teoría de Señales y Sistemas,2023-11-21 15:12:32,No me preparé lo suficiente para el examen,"Me centre en algunos temas especificos por lo que venia diciendo en las formulas, por lo cual había otro que no tome en cuenta por lo dicho anteriormente, el cual fue que mas salio ",2023,11
Teoría de Señales y Sistemas,2023-11-21 15:12:34,No me preparé lo suficiente para el examen,Tuve problemas económicos y por cuestiones laborales no pude prepararme lo suficiente ,2023,11
Teoría de Señales y Sistemas,2023-11-21 15:14:16,No me preparé lo suficiente para el examen,Algunos temas no se profundizaron de manera adecuada,2023,11
Ecuaciones Diferenciales,2023-11-22 10:17:53,El examen es muy largo para el tiempo asignado,El tiempo para el previo ,2023,11
Ecuaciones Diferenciales,2023-11-22 10:17:55,La temática evaluada es muy amplia,No me prepare lo suficiente ,2023,11
Ecuaciones Diferenciales,2023-11-22 10:18:32,La temática evaluada es muy amplia,"Primero que todo por qué hubo bastantes temas en el primer parcial y pues no me prepare lo suficiente debido a lo laboral, la profesora es muy buena explicando y todo, pero hubieron bastantes temas y por ese motivo fue que me fue mal.",2023,11
Ecuaciones Diferenciales,2023-11-22 10:19:17,La temática evaluada es muy amplia,Pienso que en este primer previo fueron muchos temas para el corto tiempo que tuvimos para poder estudiar y resolverlo,2023,11
Ecuaciones Diferenciales,2023-11-22 10:20:12,El examen es muy largo para el tiempo asignado,Muchos temas en muy poco tiempo,2023,11
Ecuaciones Diferenciales,2023-11-22 10:21:01,La temática evaluada es muy amplia,El examen es muy largo para el tiempo asignado,2023,11
Ecuaciones Diferenciales,2023-11-22 10:21:55,La temática evaluada es muy amplia,Eran demasiados temas ,2023,11
Ondas y Partículas,2023-11-22 16:11:11,No me preparé lo suficiente para el examen,"Complicaciones de salud, poco tiempo por trabajos ajenos de la universidad. ",2023,11
Ondas y Partículas,2023-11-22 16:11:25,No me preparé lo suficiente para el examen,No realizamos ejercicios durante las clases,2023,11
Ondas y Partículas,2023-11-22 16:11:27,No comprendo los temas explicados,"No me prepare lo suficiente para el examen, los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase",2023,11
Ondas y Partículas,2023-11-22 16:11:32,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,La dificultad del previo fue muy elevada a comparación de los ejercicios trabajados en clase.,2023,11
Ondas y Partículas,2023-11-22 16:13:20,La temática evaluada es muy amplia,"Las demostraciones creo que son complicadas a la hora de realizarlas, si el tema no esta bien dominado es imposible.",2023,11
Ondas y Partículas,2023-11-22 16:13:44,No me preparé lo suficiente para el examen,También los ejercicios evaluados en el previo tenían una dificultad mayor a los vistos en clase ,2023,11
Ondas y Partículas,2023-11-22 16:14:32,La temática evaluada es muy amplia,"Los temas son extensos por lo que complica el aprendizaje de la materia, ya que no se puede profundizar en la información.",2023,11
Ondas y Partículas,2023-11-22 16:14:34,La temática evaluada es muy amplia,A veces No comprendo los temas explicados,2023,11
Ondas y Partículas,2023-11-22 16:14:59,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,No tuve el tiempo necesario para prepararme.,2023,11
Ondas y Partículas,2023-11-22 16:15:01,La temática evaluada es muy amplia,"Dado la cantidad y dificultad de los temas trabajados, las explicaciones suelen ser poco profundas en cada tema tratado.",2023,11
Ondas y Partículas,2023-11-22 16:15:35,La temática evaluada es muy amplia,"En el caso del 4to semestre hay materias que conllevan mucho tiempo aprender bien a desarrollarlas, debido a eso los temas se vuelven muy largo a pesar de tomar el corte desde un inicio, y también que tenemos dos exámenes de materias de línea como es el caso de ondas y variable y eso conlleva mucho peso",2023,11
Ondas y Partículas,2023-11-22 16:17:23,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Ninguna otra, siento que lo evaluado supera mucho en dificultad a lo explicado.",2023,11
Ondas y Partículas,2023-11-22 16:17:27,No comprendo los temas explicados,Las explicaciones del docente no son claras,2023,11
Electrónica III,2024-05-07 07:20:26,No me preparé lo suficiente para el examen,No estudie lo requerido ,2024,5
Electrónica III,2024-05-07 07:20:29,No me preparé lo suficiente para el examen,Falta de talleres o que el docente de ejercicios para reforzar el tema,2024,5
Electrónica III,2024-05-07 07:20:54,No me preparé lo suficiente para el examen,"Falta de conceptos importantes de los temas, y demasiada saturación de ejercicios básicos.",2024,5
Electrónica III,2024-05-07 07:21:57,No me preparé lo suficiente para el examen,Se me dificulto un tema ,2024,5
Electrónica III,2024-05-07 07:21:59,Tengo dificultades por temas laborales,.,2024,5
Electrónica III,2024-05-07 07:22:02,No me preparé lo suficiente para el examen,No dormí bien la noche antes y llegué algo nervioso al parcial ,2024,5
Electrónica III,2024-05-07 07:22:06,El examen es muy largo para el tiempo asignado,NR,2024,5
Electrónica III,2024-05-07 07:22:53,No me preparé lo suficiente para el examen,Lo estudiado no fue suficiente y un tema explicado por el docente no lo profundice y por ende obtuve los resultados que obtuve ,2024,5
Electrónica III,2024-05-07 07:23:33,El examen es muy largo para el tiempo asignado,Falencias personales en conceptos básicos de electrónica ,2024,5
Electrónica III,2024-05-07 07:24:19,No me preparé lo suficiente para el examen,"Por confiado, creí saber lo suficiente y me di cuenta que estaba equivocado.",2024,5
Electrónica III,2024-05-07 07:27:51,No me preparé lo suficiente para el examen,"Cuando desarrollo el examen cometo errores ,los cuales cambio sin corregirlos en el examen ,solo los dejo en la calculadora generando desorden de resultados ",2024,5
Electrónica III,2024-05-07 07:28:14,El examen es muy largo para el tiempo asignado,Al equivocarme en ciertas cuestiones como error de calculadora.,2024,5
Control Digital,2024-05-07 10:11:15,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,La dificultad de un punto en el previo y su puntaje no era acorde a la dificultad y el tema explicado en clase.,2024,5
Control Digital,2024-05-07 10:11:17,Tengo dificultades por temas laborales,Falta de organización en mi tiempo para estudiar. ,2024,5
Control Digital,2024-05-07 10:12:05,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Los temas que el docente evalúa son muy poco claros, la metodología y pedagogía del docente se encuentra mal orientada y no se realiza un entendimiento claro de lo que se explica",2024,5
Control Digital,2024-05-07 10:12:22,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,No me prepare lo suficiente ,2024,5
Control Digital,2024-05-07 10:12:22,Las explicaciones del docente no son claras,Falta de tema en la malla curricular ,2024,5
Control Digital,2024-05-07 10:13:10,No comprendo los temas explicados,Falta de profundidad en los temas ,2024,5
Control Digital,2024-05-07 10:13:14,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,No me prepare lo suficiente ,2024,5
Control Digital,2024-05-07 10:13:29,Las explicaciones del docente no son claras,"Me gustaría que las de arriba, fueran selección múltiple ya que varias aplican, siento que no entendí muy bien el tema y revisando un poco el libro no se encontraron muchos ejercicios para realizar. También no sentimos como mucha confianza para preguntarle al profe o al menos yo le tengo un poco de temor entonces no le consulto cosas al docente. La temática evaluará también siento que es muy amplia y pues el control siento que es bastante complejo y es algo que debe ser muy bien explicado ",2024,5
Control Digital,2024-05-07 10:13:49,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Falta de motivación por parte del docente,2024,5
Control Digital,2024-05-07 10:14:35,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Se presenta un acceso limitado a documentación suficiente para la solución del primer parcial,2024,5
Control Digital,2024-05-07 10:14:37,No me preparé lo suficiente para el examen,"Falta de preparación y aprendizaje autonomo con los temas aprendidos, como mejora para evitar el bajo desempeño, dar más explicaciones de ejemplos sobre los temas, ya que el estudiante mejora su desempeño con la practica de ejercicios en clase ",2024,5
Control Digital,2024-05-07 10:15:11,Tengo dificultades por temas familiares,"Falta explicar más ejercicios por parte del docente, pero también me faltó estudiar un poco más. ",2024,5
Control Digital,2024-05-07 10:15:24,Las explicaciones del docente no son claras,"Hay varias falencias respecto a temas vistos en materias anteriores que eran las bases principales de la carrera no fueron bien explicadas y al llegar a materias más avanzadas donde son muy necesarios, se tienen dificultad para entender los temas y poder avanzar debido a esas falencias de bases.",2024,5
Control Digital,2024-05-07 10:15:49,No comprendo los temas explicados,"Los ejercicios explicados  en clase  comparados con los que salen en el examen  son  muy diferentes  seria bueno, se avalue algo semejante con lo que vemos en clase ",2024,5
Control Digital,2024-05-07 10:16:11,No comprendo los temas explicados,"No le dediqué el tiempo requerido a la materia y no revise el libro, falta profundidad en la explicación de los temas y que sean más ejercicios para uno poder guiarse en los parciales.",2024,5
Control Digital,2024-05-07 10:18:05,Las explicaciones del docente no son claras,"Comentarios despectivos hacia estudiantes, comentarios hacia estudiantes “las eminencias no tienen idea de la malla curricular”. No asiste a asesorías; no existe acompañamiento en los temas de modelamiento de sistemas térmicos y neumáticos. No comparte el material, no sabemos si no tiene tiempo o disposición de impartir los conocimientos a los estudiantes. Comentarios “ no sabe dónde está parado”. ",2024,5
Control Digital,2024-05-07 10:18:28,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Más comprensión sobre el tema evaluado ,2024,5
Control Digital,2024-05-07 10:18:59,No comprendo los temas explicados,"La información suficiente no es compartida por parte del docente, diapositivas.",2024,5
Control Digital,2024-05-07 10:19:02,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"El docente no presta interés en explicar a detalle los sistemas dinámicos que va a evaluar, la temática de clase al respecto, es totalmente diferente a la evaluada. Se recomienda explicar a profundidad el sistema que se abordará durante los previos, además de proveer material de estudio para el mismo. (A pesar de que el sistema del primer previo, era relativamente sencillo en tanto a su desarrollo, al no contar con las ecuaciones cómo mínimo, ni práctica al respecto, el previo se vio afectado en general)

Se recomienda distribuir de manera equitativa la nota respecto a los ejercicios por resolver, en este caso había un punto que valía el 80% frente a uno que valía el 20%. La incertidumbre del primero, reflejó los resultados mencionados anteriormente.",2024,5
Control Digital,2024-05-07 10:19:26,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"La verdad, sentí que el primer previo fue algo fuera de la órbita que se estaba trabajando con la materia. El profesor no va a las asesorías, siempre que uno va, no está en el departamento o cuando llega no está en la disposición de atender a las dudas presentes de los estudiantes. El profesor hace comentarios fuera de lugar en medio del previo y en las clases hacia la malla curricular por no tener la materia llamada ""sistemas dinámicos"" que hacen que uno pierda la concentración en el momento de la evaluación. La repartición del puntaje de los ejercicios es desproporcionada. El trato borde hacia los estudiantes de la materia hace que el estudiante pierda atención ",2024,5
Control Digital,2024-05-07 10:19:33,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Lo que sucede en la carrera no hay una asignatura de modelamiento dinámicos que si hay en contra correras similares a electrónica, entonces hay un vacío en el pensum donde no existen bases de modelamiento dinámicos y eso es evaluado en control.",2024,5
Control Digital,2024-05-07 10:19:37,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Los ejercicio evaluado no corresponden  a lo visto en clase, ya que era un tema que no se explicó.",2024,5
Control Digital,2024-05-07 10:21:55,No comprendo los temas explicados,"La primera temática de la materia no fue explicada de forma correcta en mi opinión, se perdió mucho tiempo a principios de semestre y los temas no han sido retroalimentados hasta el momento como el de sistemas dinámicos, no tengo suficientes conocimientos al respecto y solo se explicó por encima en la clase anterior al previo, y justamente el punto con más valor (3.8) se trataba de ese tema. Después de recibir el previo intenté ir a asesorías y el profesor además de llegar 30 minutos tarde, nos negó la atención a varios estudiantes que lo estábamos esperando. También se buscó la forma de que el profesor nos explicara a fondo el tema de sistemas dinámicos, pero se negó rotundamente tanto a explicar el tema como a buscar una forma de habilitar el primer previo a pesar de las notas tan bajas del curso en general. Dn mi opinión estaría bien que al menos explique a fondo el tema y de bibliografías suficientes para estudiar el tema a nivel que exige en los previos.",2024,5
Teoría Electromagnética,2024-05-07 14:30:48,No me preparé lo suficiente para el examen,Falta de compromiso del estudiante y que el profesor sea más dinámico al explicar un tema,2024,5
Teoría Electromagnética,2024-05-07 14:31:09,No me preparé lo suficiente para el examen,El manejo de una amplia variedad de fórmulas y de cálculos muy precisos generan un poco de confusión a la hora de desarrollar el previo. ,2024,5
Teoría Electromagnética,2024-05-07 14:31:48,No me preparé lo suficiente para el examen,Falencia en temas de anteriores semestres ,2024,5
Teoría Electromagnética,2024-05-07 14:32:17,No comprendo los temas explicados,Se me dificulta entender bien los temas vistos en esta materia porque siento que no tengo buenas bases del conocimiento que requiere está materia.,2024,5
Instrumentación Electrónica,2024-05-07 15:53:06,No me preparé lo suficiente para el examen,Poco compromiso de parte mía además no tuve el tiempo indicado para preparar el previo ,2024,5
Instrumentación Electrónica,2024-05-07 15:53:45,No me preparé lo suficiente para el examen,Faltó preparación con el taller de preparación para el segundo previo ,2024,5
Instrumentación Electrónica,2024-05-07 15:54:03,La temática evaluada es muy amplia,Son muchos temas,2024,5
Instrumentación Electrónica,2024-05-07 15:54:08,Tengo dificultades por temas familiares,"Dure un año sin estudiar, y durante el transcurso del primer corte, me dedique a repasar lo visto en semestres anteriores, y en ello, no pude estudiar mucho la materia ",2024,5
Instrumentación Electrónica,2024-05-07 15:54:24,No me preparé lo suficiente para el examen,Mala preparación ,2024,5
Instrumentación Electrónica,2024-05-07 15:54:40,No me preparé lo suficiente para el examen,"Son varios temas a tratar entonces se siente como si fuera una ruleta de la suerte a ver si al tema que más se estudió, es el que va a salir",2024,5
Instrumentación Electrónica,2024-05-07 15:54:43,No comprendo los temas explicados,"Me faltó prepararme lo suficiente para el examen debido a que es una materia donde se tiene muchos temas, es una materia algo complicada de entender ",2024,5
Instrumentación Electrónica,2024-05-07 15:55:25,Tengo dificultades por temas laborales,Más preparación ,2024,5
Instrumentación Electrónica,2024-05-07 15:55:36,No me preparé lo suficiente para el examen,No le dedique el tiempo adecuado para estudiar ,2024,5
Instrumentación Electrónica,2024-05-07 15:56:18,No comprendo los temas explicados,"La tematica abordada ,es abstracta lo cual en cierta forma dificulta el estudio de forma independiente ",2024,5
Instrumentación Electrónica,2024-05-07 15:57:31,No me preparé lo suficiente para el examen,La temática es extensa y no me preparé lo suficiente para el parcial,2024,5
Análisis de Circuitos en CD  (Julian Tarazona),2024-05-08 14:12:16,Tengo dificultades por temas familiares,Muchos problemas y problemas laborales ,2024,5
Análisis de Circuitos en CD  (Julian Tarazona),2024-05-08 14:13:08,No me preparé lo suficiente para el examen,Tenía diferentes problemas y pues se acumuló todo ,2024,5
Análisis de Circuitos en CD  (Julian Tarazona),2024-05-08 14:14:42,No me preparé lo suficiente para el examen,Me confundo a la hora de reemplazar y aplicar las ecuaciones ,2024,5
Análisis de Circuitos en CD  (Julian Tarazona),2024-05-08 14:14:50,No me preparé lo suficiente para el examen,Por el trabajo aveces no alcanzo a repasar bien pero trato de hacerlo ,2024,5
Análisis de Circuitos en CD  (Julian Tarazona),2024-05-08 14:15:41,Tengo dificultades por temas laborales,"Por mi trabajo tuve poco tiempo para estudiar, ya que los ejercicios requieren de mucha práctica ",2024,5
Análisis de Circuitos en CD  (Julian Tarazona),2024-05-08 14:15:46,No me preparé lo suficiente para el examen,Por tener otras responsabilidades no pude preparar suficiente el previo,2024,5
Análisis de Circuitos en CD  (Julian Tarazona),2024-05-08 14:16:36,Tengo dificultades por temas laborales,Trabajo y estudio. me queda muy complejo el tema del horario ya que son temas muy complicados y no me queda casi tiempo para poder edtudiar. Pero no quiero salirme de la carrera así q la sigo luchando,2024,5
Ecuaciones Diferenciales,2024-05-08 14:22:49,Tengo dificultades por temas familiares,"Muchos cambios en mi vida, aunque no tienen que ver con mi familia si no contigo, cambios emocionalmente ",2024,5
Ecuaciones Diferenciales,2024-05-08 14:23:19,No me preparé lo suficiente para el examen,No estudie bien para el previo ,2024,5
Ecuaciones Diferenciales,2024-05-08 14:23:24,Tengo dificultades por temas familiares,No metí el tiempo completo en esta materia pues murió mi papá el 24 de diciembre de el año pasado y se me ha dificultado este semestre ,2024,5
Ecuaciones Diferenciales,2024-05-08 14:23:54,No me preparé lo suficiente para el examen,No estoy muy bien familiarizado con los temas. Mas que todo de álgebra en los casos de factorización.,2024,5
Ecuaciones Diferenciales,2024-05-08 14:25:06,No me preparé lo suficiente para el examen,Estoy cursando otras asignaturas de alta complejidad ,2024,5
Ecuaciones Diferenciales,2024-05-08 14:25:10,No me preparé lo suficiente para el examen,No preparar bien el examen ,2024,5
Ecuaciones Diferenciales,2024-05-08 14:25:36,No comprendo los temas explicados,"Los Temas explicados realmente no los entiendo, no tengo bien las bases, prepare bastante el estudio aunque no entendía, mejore las bases, pero no pude sacar un buena nota.",2024,5
Ecuaciones Diferenciales,2024-05-08 14:25:40,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Las explicaciones no son muy buenas o no se da a entender bien con lo que quiere enseñarnos,2024,5
Ecuaciones Diferenciales,2024-05-08 14:25:41,No me preparé lo suficiente para el examen,"tengo problemas con la realización de parciales, es un tema personal más que todo",2024,5
Ecuaciones Diferenciales,2024-05-08 14:25:50,No me preparé lo suficiente para el examen,Deme complica entender los temas,2024,5
Ecuaciones Diferenciales,2024-05-08 14:25:57,No me preparé lo suficiente para el examen,Solo que no dedique el tiempo suficiente con el trabajo y el estudio para prepararme,2024,5
Ecuaciones Diferenciales,2024-05-08 14:26:17,Tengo dificultades por temas laborales,"Mi situación familiar paso por un momento un poco complicado, lo cual afectó lo económico esto provocado por bajo rendimiento en el semestre anterior, mis bases matemáticas son un poco deficientes pues mi colegio no me brindo buena formación en eso y adquirirla me ha resultado complicado.  No solo debo cumplir con esta materia también con otras.
",2024,5
Ecuaciones Diferenciales,2024-05-08 14:26:26,No me preparé lo suficiente para el examen,No le dedique el tiempo suficiente a repasar los temas más a detalle,2024,5
Ecuaciones Diferenciales,2024-05-08 14:30:07,No comprendo los temas explicados,tiempo,2024,5
Análisis de Circuitos en CA,2024-05-08 14:39:04,Tengo dificultades por temas laborales,Falta de practica con ejercicios ,2024,5
Análisis de Circuitos en CA,2024-05-08 14:40:30,No me preparé lo suficiente para el examen,"El parcial constaba de herramientas como Orcad y Matlab, lamentablemente no cuento con pc propio para estudiar en casa y en el momento del parcial me complicó la programación en matlab",2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:21:06,No comprendo los temas explicados,No estudiar lo suficiente,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:21:15,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,No,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:21:19,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Las explicaciones del docente no fueron lo suficientemente claras como para los ejercicios que fueron evaluados en el examen,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:21:25,Tengo dificultades por temas laborales,No me prepare lo suficiente,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:21:32,Tengo dificultades por temas laborales,No aplica.,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:21:43,Las explicaciones del docente no son claras,No me preparé lo suficiente ,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:21:53,No me preparé lo suficiente para el examen,Desmotivacion respecto a la carrera,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:22:40,No me preparé lo suficiente para el examen,Ninguna,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:22:49,Tengo dificultades por temas laborales,"La verdad no fue muy entendible en la clase y pues el mayor problema yo creo que fue es la parte laborar, porque no tuve suficiente tiempo para investigar y pues los único tiempo que tuve fue en las clases y no entendí mucho.",2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:23:16,Tengo dificultades por temas laborales,Poco tiempo para estudiar ,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:23:39,No me preparé lo suficiente para el examen,Falto preparación y en algunas materias no se entendió el tema (ej variable compleja),2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:24:10,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Además, fué un poco amplio el previo para lo poco que he aprendido acerca de circuitos ",2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:24:47,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Aunque la dificultad del examen no es realmente tan dura, lo que pasa es que los ejercicios vistos en clase son por decirlo suaves, no como los que salió en el previó, lo que hace que el pensamiento analítico a la hora del examen fuera poco para desarrollar el examen",2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:24:52,Las explicaciones del docente no son claras,La metodología del profesor  ,2024,5
Análisis de Circuitos en CD (John Arias),2024-05-09 15:27:11,No comprendo los temas explicados,Se me dificulta un poco la materia ,2024,5
